location,subject_x_x,Sum of value_x_x,subject_y_x,Sum of value_y_x,subject_x_y,Sum of value_x_y,subject_y_y,Sum of value_y_y
ARG,SHEEP,2245.512499,POULTRY,53937.99558,PIG,16230.60421,BEEF,98111.22814
AUS,SHEEP,10933.88802,POULTRY,37261.83593,PIG,21830.76971,BEEF,27746.47275
BRA,SHEEP,4752.071549,POULTRY,275274.5201,PIG,101089.2175,BEEF,271769.2755
BRICS,SHEEP,192789.1807,POULTRY,1131227.849,PIG,2049493.357,BEEF,686983.6593
CAN,SHEEP,1367.495218,POULTRY,47889.0537,PIG,31648.99191,BEEF,38812.40144
CHE,SHEEP,532.502647,POULTRY,5006.928633,PIG,10824.51201,BEEF,6995.972143
CHL,SHEEP,431.2263259,POULTRY,22771.13938,PIG,14180.64751,BEEF,16234.82638
CHN,SHEEP,145444.4013,POULTRY,571704.7429,PIG,1814998.839,BEEF,226344.9395
COL,SHEEP,414.1803669,POULTRY,45815.53357,PIG,11913.81209,BEEF,30215.22508
EGY,SHEEP,4847.806018,POULTRY,37941.91615,PIG,78.08260419,BEEF,37700.19122
ETH,SHEEP,3061.113745,POULTRY,1329.717247,PIG,70.36733631,BEEF,13866.48794
EU27,SHEEP,24445.09979,POULTRY,307380.2136,PIG,571221.5866,BEEF,200969.1047
GBR,SHEEP,9818.35317,POULTRY,57123.12639,PIG,41416.91084,BEEF,30650.74219
IDN,SHEEP,4596.79479,POULTRY,63179.12389,PIG,15352.24599,BEEF,22552.50755
IND,SHEEP,27797.08303,POULTRY,92956.90022,PIG,14955.54483,BEEF,59689.45265
IRN,SHEEP,15744.41153,POULTRY,60272.65432,PIG,23.0056658,BEEF,19781.66027
ISR,SHEEP,541.842559,POULTRY,21532.4244,PIG,638.2576903,BEEF,8084.813612
JPN,SHEEP,1727.193965,POULTRY,82396.38494,PIG,93585.61439,BEEF,51069.26636
KAZ,SHEEP,6782.974977,POULTRY,9043.004609,PIG,5422.426253,BEEF,19870.30293
KOR,SHEEP,454.9641569,POULTRY,29861.0143,PIG,57233.34782,BEEF,23928.08951
MEX,SHEEP,2972.815737,POULTRY,121732.3312,PIG,65378.10629,BEEF,60726.43602
MYS,SHEEP,1088.201811,POULTRY,51314.52352,PIG,9217.457623,BEEF,7634.603795
NGA,SHEEP,14115.8872,POULTRY,7802.680397,PIG,8460.084173,BEEF,13322.03233
NOR,SHEEP,1222.461184,POULTRY,3379.363038,PIG,5511.634342,BEEF,4308.280767
NZL,SHEEP,3065.433816,POULTRY,7202.358372,PIG,4060.647144,BEEF,4779.52158
OECD,SHEEP,76636.66846,POULTRY,1394268.689,PIG,1259188.807,BEEF,972472.0165
PAK,SHEEP,19043.83987,POULTRY,32239.26447,PIG,0.933790702,BEEF,54758.17876
PER,SHEEP,1499.645676,POULTRY,42157.94682,PIG,5209.9706,BEEF,6772.280587
PHL,SHEEP,1935.03791,POULTRY,42370.19535,PIG,62998.31964,BEEF,15329.03589
PRY,SHEEP,162.337434,POULTRY,1719.907445,PIG,7143.27903,BEEF,6278.013335
RUS,SHEEP,8073.221248,POULTRY,132155.4925,PIG,111929.6607,BEEF,96861.70628
SAU,SHEEP,6175.847005,POULTRY,42257.37973,PIG,346.7557626,BEEF,5915.233743
THA,SHEEP,99.0171108,POULTRY,28702.25673,PIG,30705.23042,BEEF,7353.214883
TUR,SHEEP,14470.51378,POULTRY,48076.35811,PIG,5.605684321,BEEF,26385.86278
UKR,SHEEP,794.7823922,POULTRY,32491.17954,PIG,31133.10586,BEEF,23980.15741
USA,SHEEP,6373.513047,POULTRY,615513.4341,PIG,349642.5706,BEEF,479030.9431
VNM,SHEEP,487.1505689,POULTRY,36439.81381,PIG,103878.5726,BEEF,30513.1833
WLD,SHEEP,495400.3463,POULTRY,3562523.742,PIG,3826731.314,BEEF,2422933.345
ZAF,SHEEP,6970.249489,POULTRY,62259.09198,PIG,8156.821794,BEEF,34214.80012
