subject,location,Sum of value
BEEF,ARG,98111.22814
BEEF,AUS,27746.47275
BEEF,BRA,271769.2755
BEEF,BRICS,686983.6593
BEEF,CAN,38812.40144
BEEF,CHE,6995.972143
BEEF,CHL,16234.82638
BEEF,CHN,226344.9395
BEEF,COL,30215.22508
BEEF,EGY,37700.19122
BEEF,ETH,13866.48794
BEEF,EU27,200969.1047
BEEF,GBR,30650.74219
BEEF,IDN,22552.50755
BEEF,IND,59689.45265
BEEF,IRN,19781.66027
BEEF,ISR,8084.813612
BEEF,JPN,51069.26636
BEEF,KAZ,19870.30293
BEEF,KOR,23928.08951
BEEF,MEX,60726.43602
BEEF,MYS,7634.603795
BEEF,NGA,13322.03233
BEEF,NOR,4308.280767
BEEF,NZL,4779.52158
BEEF,OECD,972472.0165
BEEF,PAK,54758.17876
BEEF,PER,6772.280587
BEEF,PHL,15329.03589
BEEF,PRY,6278.013335
BEEF,RUS,96861.70628
BEEF,SAU,5915.233743
BEEF,THA,7353.214883
BEEF,TUR,26385.86278
BEEF,UKR,23980.15741
BEEF,USA,479030.9431
BEEF,VNM,30513.1833
BEEF,WLD,2422933.345
BEEF,ZAF,34214.80012
